nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W0000000502264,804650000,Languevoisin-Quiquery,CC de l'Est de la Somme,Somme,Hauts-de-France,06/10/2015,06/10/2015,19/02/2021,ROYE,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000048212I,804650000,Languevoisin-Quiquery,CC de l'Est de la Somme,Somme,Hauts-de-France,11/09/2015,11/09/2015,17/02/2021,ROYE,HTA,Direct,,,TERRESTRE,,9000.0,9000.0,1.0,En service,Enedis
Confidentiel,17W000000044011B,,Liancourt-Fosse,CC du Grand Roye,Somme,Hauts-de-France,26/10/2016,26/10/2016,22/03/2021,ROYE,HTA,Direct,,,TERRESTRE,,7050.0,7050.0,2.0,En service,Enedis
Confidentiel,17W000001372535E,804740000,Licourt,CC de l'Est de la Somme,Somme,Hauts-de-France,01/04/2022,01/04/2022,19/05/2022,PERTA,HTA,Direct,,,TERRESTRE,,9040.0,8000.0,1.0,En service,Enedis
Confidentiel,17W000000958153D,804750000,Liéramont,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,17/12/2019,17/12/2019,21/04/2021,ROISE,HTA,Direct,,,TERRESTRE,,14400.0,14400.0,1.0,En service,Enedis
Confidentiel,17W000000949567O,804790000,Lignières-Châtelain,CC Somme Sud-Ouest,Somme,Hauts-de-France,18/12/2019,18/12/2019,22/10/2021,BLOCA,HTA,Direct,,,TERRESTRE,,11750.0,11750.0,1.0,En service,Enedis
Confidentiel,17W000000476861J,804930000,Louvencourt,CC du Pays du Coquelicot,Somme,Hauts-de-France,06/06/2018,06/06/2018,29/01/2019,NOR.A,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,1.0,En service,Enedis
Confidentiel,17W000000476681L,804930000,Louvencourt,CC du Pays du Coquelicot,Somme,Hauts-de-France,05/07/2018,05/07/2018,30/01/2019,NOR.A,HTA,Direct,,,TERRESTRE,,11500.0,11500.0,1.0,En service,Enedis
Confidentiel,17W000000415809P,805000000,Maisnières,CC interrégionale Aumale - Blangy-sur-Bresle,Somme,Hauts-de-France,19/06/2006,19/06/2006,16/06/2022,BXCH5,HTA,Direct,,,TERRESTRE,,12000.0,11999.0,6.0,En service,Enedis
Confidentiel,17W000000042604V,805000000,Maisnières,CC interrégionale Aumale - Blangy-sur-Bresle,Somme,Hauts-de-France,23/07/2006,23/07/2006,21/04/2021,BXCH5,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000009545935,805150000,Marlers,CC Somme Sud-Ouest,Somme,Hauts-de-France,18/12/2019,18/12/2019,08/12/2022,BLOCA,HTA,Direct,,,TERRESTRE,,14100.0,14100.0,2.0,En service,Enedis
Confidentiel,17W000001366199R,805200000,Maucourt,CC Terre de Picardie,Somme,Hauts-de-France,07/02/2022,07/02/2022,07/12/2022,PERTA,HTA,Direct,,,TERRESTRE,,8800.0,8800.0,4.0,En service,Enedis
Confidentiel,17W000000048832P,805270000,Méneslies,CC du Vimeu,Somme,Hauts-de-France,27/05/2008,27/05/2008,03/06/2022,BXCH5,HTA,Direct,,,TERRESTRE,,4250.0,4250.0,5.0,En service,Enedis
Confidentiel,17W000000047903X,805270000,Méneslies,CC du Vimeu,Somme,Hauts-de-France,02/10/2014,02/10/2014,03/06/2022,SAUCO,HTA,Direct,,,TERRESTRE,,17000.0,6900.0,1.0,En service,Enedis
Confidentiel,17W0000000814642,805350000,Le Mesge,CC Nièvre et Somme,Somme,Hauts-de-France,17/07/2015,17/07/2015,15/07/2022,V.MAR,HTA,Direct,,,TERRESTRE,,13800.0,13800.0,1.0,En service,Enedis
Confidentiel,17W000000042840J,805350000,Le Mesge,CC Nièvre et Somme,Somme,Hauts-de-France,17/07/2015,17/07/2015,15/07/2022,V.MAR,HTA,Direct,,,TERRESTRE,,11500.0,11500.0,1.0,En service,Enedis
